,Name,has_metab,has_reac,has_stoichiometry
0,ACALD?acald_c,acald_c,ACALD,-1.0
1,ACALD?accoa_c,accoa_c,ACALD,1.0
2,ACALD?coa_c,coa_c,ACALD,-1.0
3,ACALD?h_c,h_c,ACALD,1.0
4,ACALD?nad_c,nad_c,ACALD,-1.0
5,ACALD?nadh_c,nadh_c,ACALD,1.0
6,ACALDt?acald_c,acald_c,ACALDt,1.0
7,ACALDt?acald_e,acald_e,ACALDt,-1.0
8,ACKr?ac_c,ac_c,ACKr,-1.0
9,ACKr?actp_c,actp_c,ACKr,1.0
10,ACKr?adp_c,adp_c,ACKr,1.0
11,ACKr?atp_c,atp_c,ACKr,-1.0
12,ACONTa?acon_C_c,acon_C_c,ACONTa,1.0
13,ACONTa?cit_c,cit_c,ACONTa,-1.0
14,ACONTa?h2o_c,h2o_c,ACONTa,1.0
15,ACONTb?acon_C_c,acon_C_c,ACONTb,-1.0
16,ACONTb?h2o_c,h2o_c,ACONTb,-1.0
17,ACONTb?icit_c,icit_c,ACONTb,1.0
18,ACt2r?ac_c,ac_c,ACt2r,1.0
19,ACt2r?ac_e,ac_e,ACt2r,-1.0
20,ACt2r?h_c,h_c,ACt2r,1.0
21,ACt2r?h_e,h_e,ACt2r,-1.0
22,ADK1?adp_c,adp_c,ADK1,2.0
23,ADK1?amp_c,amp_c,ADK1,-1.0
24,ADK1?atp_c,atp_c,ADK1,-1.0
25,AKGDH?akg_c,akg_c,AKGDH,-1.0
26,AKGDH?co2_c,co2_c,AKGDH,1.0
27,AKGDH?coa_c,coa_c,AKGDH,-1.0
28,AKGDH?nad_c,nad_c,AKGDH,-1.0
29,AKGDH?nadh_c,nadh_c,AKGDH,1.0
30,AKGDH?succoa_c,succoa_c,AKGDH,1.0
31,AKGt2r?akg_c,akg_c,AKGt2r,1.0
32,AKGt2r?akg_e,akg_e,AKGt2r,-1.0
33,AKGt2r?h_c,h_c,AKGt2r,1.0
34,AKGt2r?h_e,h_e,AKGt2r,-1.0
35,ALCD2x?acald_c,acald_c,ALCD2x,1.0
36,ALCD2x?etoh_c,etoh_c,ALCD2x,-1.0
37,ALCD2x?h_c,h_c,ALCD2x,1.0
38,ALCD2x?nad_c,nad_c,ALCD2x,-1.0
39,ALCD2x?nadh_c,nadh_c,ALCD2x,1.0
40,ATPM?adp_c,adp_c,ATPM,1.0
41,ATPM?atp_c,atp_c,ATPM,-1.0
42,ATPM?h2o_c,h2o_c,ATPM,-1.0
43,ATPM?h_c,h_c,ATPM,1.0
44,ATPM?pi_c,pi_c,ATPM,1.0
45,ATPS4r?adp_c,adp_c,ATPS4r,-1.0
46,ATPS4r?atp_c,atp_c,ATPS4r,1.0
47,ATPS4r?h2o_c,h2o_c,ATPS4r,1.0
48,ATPS4r?h_c,h_c,ATPS4r,3.0
49,ATPS4r?h_e,h_e,ATPS4r,-4.0
50,ATPS4r?pi_c,pi_c,ATPS4r,-1.0
51,Biomass_Ecoli_core?3pg_c,3pg_c,Biomass_Ecoli_core,-1.496
52,Biomass_Ecoli_core?accoa_c,accoa_c,Biomass_Ecoli_core,-3.7478
53,Biomass_Ecoli_core?adp_c,adp_c,Biomass_Ecoli_core,59.81
54,Biomass_Ecoli_core?akg_c,akg_c,Biomass_Ecoli_core,4.1182
55,Biomass_Ecoli_core?atp_c,atp_c,Biomass_Ecoli_core,-59.81
56,Biomass_Ecoli_core?coa_c,coa_c,Biomass_Ecoli_core,3.7478
57,Biomass_Ecoli_core?e4p_c,e4p_c,Biomass_Ecoli_core,-0.361
58,Biomass_Ecoli_core?f6p_c,f6p_c,Biomass_Ecoli_core,-0.0709
59,Biomass_Ecoli_core?g3p_c,g3p_c,Biomass_Ecoli_core,-0.129
60,Biomass_Ecoli_core?g6p_c,g6p_c,Biomass_Ecoli_core,-0.205
61,Biomass_Ecoli_core?gln__L_c,gln__L_c,Biomass_Ecoli_core,-0.2557
62,Biomass_Ecoli_core?glu__L_c,glu__L_c,Biomass_Ecoli_core,-4.9414
63,Biomass_Ecoli_core?h2o_c,h2o_c,Biomass_Ecoli_core,-59.81
64,Biomass_Ecoli_core?h_c,h_c,Biomass_Ecoli_core,59.81
65,Biomass_Ecoli_core?nad_c,nad_c,Biomass_Ecoli_core,-3.547
66,Biomass_Ecoli_core?nadh_c,nadh_c,Biomass_Ecoli_core,3.547
67,Biomass_Ecoli_core?nadp_c,nadp_c,Biomass_Ecoli_core,13.0279
68,Biomass_Ecoli_core?nadph_c,nadph_c,Biomass_Ecoli_core,-13.0279
69,Biomass_Ecoli_core?oaa_c,oaa_c,Biomass_Ecoli_core,-1.7867
70,Biomass_Ecoli_core?pep_c,pep_c,Biomass_Ecoli_core,-0.5191
71,Biomass_Ecoli_core?pi_c,pi_c,Biomass_Ecoli_core,59.81
72,Biomass_Ecoli_core?pyr_c,pyr_c,Biomass_Ecoli_core,-2.8328
73,Biomass_Ecoli_core?r5p_c,r5p_c,Biomass_Ecoli_core,-0.8977
74,CO2t?co2_c,co2_c,CO2t,1.0
75,CO2t?co2_e,co2_e,CO2t,-1.0
76,CS?accoa_c,accoa_c,CS,-1.0
77,CS?cit_c,cit_c,CS,1.0
78,CS?coa_c,coa_c,CS,1.0
79,CS?h2o_c,h2o_c,CS,-1.0
80,CS?h_c,h_c,CS,1.0
81,CS?oaa_c,oaa_c,CS,-1.0
82,CYTBD?h2o_c,h2o_c,CYTBD,1.0
83,CYTBD?h_c,h_c,CYTBD,-2.0
84,CYTBD?h_e,h_e,CYTBD,2.0
85,CYTBD?o2_c,o2_c,CYTBD,-0.5
86,CYTBD?q8_c,q8_c,CYTBD,1.0
87,CYTBD?q8h2_c,q8h2_c,CYTBD,-1.0
88,D_LACt2?h_c,h_c,D_LACt2,1.0
89,D_LACt2?h_e,h_e,D_LACt2,-1.0
90,D_LACt2?lac__D_c,lac__D_c,D_LACt2,1.0
91,D_LACt2?lac__D_e,lac__D_e,D_LACt2,-1.0
92,ENO?2pg_c,2pg_c,ENO,-1.0
93,ENO?h2o_c,h2o_c,ENO,1.0
94,ENO?pep_c,pep_c,ENO,1.0
95,ETOHt2r?etoh_c,etoh_c,ETOHt2r,1.0
96,ETOHt2r?etoh_e,etoh_e,ETOHt2r,-1.0
97,ETOHt2r?h_c,h_c,ETOHt2r,1.0
98,ETOHt2r?h_e,h_e,ETOHt2r,-1.0
99,EX_ac_e?ac_e,ac_e,EX_ac_e,-1.0
100,EX_acald_e?acald_e,acald_e,EX_acald_e,-1.0
101,EX_akg_e?akg_e,akg_e,EX_akg_e,-1.0
102,EX_co2_e?co2_e,co2_e,EX_co2_e,-1.0
103,EX_etoh_e?etoh_e,etoh_e,EX_etoh_e,-1.0
104,EX_for_e?for_e,for_e,EX_for_e,-1.0
105,EX_fru_e?fru_e,fru_e,EX_fru_e,-1.0
106,EX_fum_e?fum_e,fum_e,EX_fum_e,-1.0
107,EX_glc__D_e?glc__D_e,glc__D_e,EX_glc__D_e,-1.0
108,EX_gln__L_e?gln__L_e,gln__L_e,EX_gln__L_e,-1.0
109,EX_glu__L_e?glu__L_e,glu__L_e,EX_glu__L_e,-1.0
110,EX_h_e?h_e,h_e,EX_h_e,-1.0
111,EX_h2o_e?h2o_e,h2o_e,EX_h2o_e,-1.0
112,EX_lac__D_e?lac__D_e,lac__D_e,EX_lac__D_e,-1.0
113,EX_mal__L_e?mal__L_e,mal__L_e,EX_mal__L_e,-1.0
114,EX_nh4_e?nh4_e,nh4_e,EX_nh4_e,-1.0
115,EX_o2_e?o2_e,o2_e,EX_o2_e,-1.0
116,EX_pi_e?pi_e,pi_e,EX_pi_e,-1.0
117,EX_pyr_e?pyr_e,pyr_e,EX_pyr_e,-1.0
118,EX_succ_e?succ_e,succ_e,EX_succ_e,-1.0
119,FBA?dhap_c,dhap_c,FBA,1.0
120,FBA?fdp_c,fdp_c,FBA,-1.0
121,FBA?g3p_c,g3p_c,FBA,1.0
122,FBP?f6p_c,f6p_c,FBP,1.0
123,FBP?fdp_c,fdp_c,FBP,-1.0
124,FBP?h2o_c,h2o_c,FBP,-1.0
125,FBP?pi_c,pi_c,FBP,1.0
126,FORt2?for_c,for_c,FORt2,1.0
127,FORt2?for_e,for_e,FORt2,-1.0
128,FORt2?h_c,h_c,FORt2,1.0
129,FORt2?h_e,h_e,FORt2,-1.0
130,FORti?for_c,for_c,FORti,-1.0
131,FORti?for_e,for_e,FORti,1.0
132,FRD7?fum_c,fum_c,FRD7,-1.0
133,FRD7?q8_c,q8_c,FRD7,1.0
134,FRD7?q8h2_c,q8h2_c,FRD7,-1.0
135,FRD7?succ_c,succ_c,FRD7,1.0
136,FRUpts2?f6p_c,f6p_c,FRUpts2,1.0
137,FRUpts2?fru_e,fru_e,FRUpts2,-1.0
138,FRUpts2?pep_c,pep_c,FRUpts2,-1.0
139,FRUpts2?pyr_c,pyr_c,FRUpts2,1.0
140,FUM?fum_c,fum_c,FUM,-1.0
141,FUM?h2o_c,h2o_c,FUM,-1.0
142,FUM?mal__L_c,mal__L_c,FUM,1.0
143,FUMt2_2?fum_c,fum_c,FUMt2_2,1.0
144,FUMt2_2?fum_e,fum_e,FUMt2_2,-1.0
145,FUMt2_2?h_c,h_c,FUMt2_2,2.0
146,FUMt2_2?h_e,h_e,FUMt2_2,-2.0
147,G6PDH2r?6pgl_c,6pgl_c,G6PDH2r,1.0
148,G6PDH2r?g6p_c,g6p_c,G6PDH2r,-1.0
149,G6PDH2r?h_c,h_c,G6PDH2r,1.0
150,G6PDH2r?nadp_c,nadp_c,G6PDH2r,-1.0
151,G6PDH2r?nadph_c,nadph_c,G6PDH2r,1.0
152,GAPD?13dpg_c,13dpg_c,GAPD,1.0
153,GAPD?g3p_c,g3p_c,GAPD,-1.0
154,GAPD?h_c,h_c,GAPD,1.0
155,GAPD?nad_c,nad_c,GAPD,-1.0
156,GAPD?nadh_c,nadh_c,GAPD,1.0
157,GAPD?pi_c,pi_c,GAPD,-1.0
158,GLCpts?g6p_c,g6p_c,GLCpts,1.0
159,GLCpts?glc__D_e,glc__D_e,GLCpts,-1.0
160,GLCpts?pep_c,pep_c,GLCpts,-1.0
161,GLCpts?pyr_c,pyr_c,GLCpts,1.0
162,GLNS?adp_c,adp_c,GLNS,1.0
163,GLNS?atp_c,atp_c,GLNS,-1.0
164,GLNS?gln__L_c,gln__L_c,GLNS,1.0
165,GLNS?glu__L_c,glu__L_c,GLNS,-1.0
166,GLNS?h_c,h_c,GLNS,1.0
167,GLNS?nh4_c,nh4_c,GLNS,-1.0
168,GLNS?pi_c,pi_c,GLNS,1.0
169,GLNabc?adp_c,adp_c,GLNabc,1.0
170,GLNabc?atp_c,atp_c,GLNabc,-1.0
171,GLNabc?gln__L_c,gln__L_c,GLNabc,1.0
172,GLNabc?gln__L_e,gln__L_e,GLNabc,-1.0
173,GLNabc?h2o_c,h2o_c,GLNabc,-1.0
174,GLNabc?h_c,h_c,GLNabc,1.0
175,GLNabc?pi_c,pi_c,GLNabc,1.0
176,GLUDy?akg_c,akg_c,GLUDy,1.0
177,GLUDy?glu__L_c,glu__L_c,GLUDy,-1.0
178,GLUDy?h2o_c,h2o_c,GLUDy,-1.0
179,GLUDy?h_c,h_c,GLUDy,1.0
180,GLUDy?nadp_c,nadp_c,GLUDy,-1.0
181,GLUDy?nadph_c,nadph_c,GLUDy,1.0
182,GLUDy?nh4_c,nh4_c,GLUDy,1.0
183,GLUN?gln__L_c,gln__L_c,GLUN,-1.0
184,GLUN?glu__L_c,glu__L_c,GLUN,1.0
185,GLUN?h2o_c,h2o_c,GLUN,-1.0
186,GLUN?nh4_c,nh4_c,GLUN,1.0
187,GLUSy?akg_c,akg_c,GLUSy,-1.0
188,GLUSy?gln__L_c,gln__L_c,GLUSy,-1.0
189,GLUSy?glu__L_c,glu__L_c,GLUSy,2.0
190,GLUSy?h_c,h_c,GLUSy,-1.0
191,GLUSy?nadp_c,nadp_c,GLUSy,1.0
192,GLUSy?nadph_c,nadph_c,GLUSy,-1.0
193,GLUt2r?glu__L_c,glu__L_c,GLUt2r,1.0
194,GLUt2r?glu__L_e,glu__L_e,GLUt2r,-1.0
195,GLUt2r?h_c,h_c,GLUt2r,1.0
196,GLUt2r?h_e,h_e,GLUt2r,-1.0
197,GND?6pgc_c,6pgc_c,GND,-1.0
198,GND?co2_c,co2_c,GND,1.0
199,GND?nadp_c,nadp_c,GND,-1.0
200,GND?nadph_c,nadph_c,GND,1.0
201,GND?ru5p__D_c,ru5p__D_c,GND,1.0
202,H2Ot?h2o_c,h2o_c,H2Ot,1.0
203,H2Ot?h2o_e,h2o_e,H2Ot,-1.0
204,ICDHyr?akg_c,akg_c,ICDHyr,1.0
205,ICDHyr?co2_c,co2_c,ICDHyr,1.0
206,ICDHyr?icit_c,icit_c,ICDHyr,-1.0
207,ICDHyr?nadp_c,nadp_c,ICDHyr,-1.0
208,ICDHyr?nadph_c,nadph_c,ICDHyr,1.0
209,ICL?glx_c,glx_c,ICL,1.0
210,ICL?icit_c,icit_c,ICL,-1.0
211,ICL?succ_c,succ_c,ICL,1.0
212,LDH_D?h_c,h_c,LDH_D,1.0
213,LDH_D?lac__D_c,lac__D_c,LDH_D,-1.0
214,LDH_D?nad_c,nad_c,LDH_D,-1.0
215,LDH_D?nadh_c,nadh_c,LDH_D,1.0
216,LDH_D?pyr_c,pyr_c,LDH_D,1.0
217,MALS?accoa_c,accoa_c,MALS,-1.0
218,MALS?coa_c,coa_c,MALS,1.0
219,MALS?glx_c,glx_c,MALS,-1.0
220,MALS?h2o_c,h2o_c,MALS,-1.0
221,MALS?h_c,h_c,MALS,1.0
222,MALS?mal__L_c,mal__L_c,MALS,1.0
223,MALt2_2?h_c,h_c,MALt2_2,2.0
224,MALt2_2?h_e,h_e,MALt2_2,-2.0
225,MALt2_2?mal__L_c,mal__L_c,MALt2_2,1.0
226,MALt2_2?mal__L_e,mal__L_e,MALt2_2,-1.0
227,MDH?h_c,h_c,MDH,1.0
228,MDH?mal__L_c,mal__L_c,MDH,-1.0
229,MDH?nad_c,nad_c,MDH,-1.0
230,MDH?nadh_c,nadh_c,MDH,1.0
231,MDH?oaa_c,oaa_c,MDH,1.0
232,ME1?co2_c,co2_c,ME1,1.0
233,ME1?mal__L_c,mal__L_c,ME1,-1.0
234,ME1?nad_c,nad_c,ME1,-1.0
235,ME1?nadh_c,nadh_c,ME1,1.0
236,ME1?pyr_c,pyr_c,ME1,1.0
237,ME2?co2_c,co2_c,ME2,1.0
238,ME2?mal__L_c,mal__L_c,ME2,-1.0
239,ME2?nadp_c,nadp_c,ME2,-1.0
240,ME2?nadph_c,nadph_c,ME2,1.0
241,ME2?pyr_c,pyr_c,ME2,1.0
242,NADH16?h_c,h_c,NADH16,-4.0
243,NADH16?h_e,h_e,NADH16,3.0
244,NADH16?nad_c,nad_c,NADH16,1.0
245,NADH16?nadh_c,nadh_c,NADH16,-1.0
246,NADH16?q8_c,q8_c,NADH16,-1.0
247,NADH16?q8h2_c,q8h2_c,NADH16,1.0
248,NADTRHD?nad_c,nad_c,NADTRHD,-1.0
249,NADTRHD?nadh_c,nadh_c,NADTRHD,1.0
250,NADTRHD?nadp_c,nadp_c,NADTRHD,1.0
251,NADTRHD?nadph_c,nadph_c,NADTRHD,-1.0
252,NH4t?nh4_c,nh4_c,NH4t,1.0
253,NH4t?nh4_e,nh4_e,NH4t,-1.0
254,O2t?o2_c,o2_c,O2t,1.0
255,O2t?o2_e,o2_e,O2t,-1.0
256,PDH?accoa_c,accoa_c,PDH,1.0
257,PDH?co2_c,co2_c,PDH,1.0
258,PDH?coa_c,coa_c,PDH,-1.0
259,PDH?nad_c,nad_c,PDH,-1.0
260,PDH?nadh_c,nadh_c,PDH,1.0
261,PDH?pyr_c,pyr_c,PDH,-1.0
262,PFK?adp_c,adp_c,PFK,1.0
263,PFK?atp_c,atp_c,PFK,-1.0
264,PFK?f6p_c,f6p_c,PFK,-1.0
265,PFK?fdp_c,fdp_c,PFK,1.0
266,PFK?h_c,h_c,PFK,1.0
267,PFL?accoa_c,accoa_c,PFL,1.0
268,PFL?coa_c,coa_c,PFL,-1.0
269,PFL?for_c,for_c,PFL,1.0
270,PFL?pyr_c,pyr_c,PFL,-1.0
271,PGI?f6p_c,f6p_c,PGI,1.0
272,PGI?g6p_c,g6p_c,PGI,-1.0
273,PGK?13dpg_c,13dpg_c,PGK,1.0
274,PGK?3pg_c,3pg_c,PGK,-1.0
275,PGK?adp_c,adp_c,PGK,1.0
276,PGK?atp_c,atp_c,PGK,-1.0
277,PGL?6pgc_c,6pgc_c,PGL,1.0
278,PGL?6pgl_c,6pgl_c,PGL,-1.0
279,PGL?h2o_c,h2o_c,PGL,-1.0
280,PGL?h_c,h_c,PGL,1.0
281,PGM?2pg_c,2pg_c,PGM,-1.0
282,PGM?3pg_c,3pg_c,PGM,1.0
283,PIt2r?h_c,h_c,PIt2r,1.0
284,PIt2r?h_e,h_e,PIt2r,-1.0
285,PIt2r?pi_c,pi_c,PIt2r,1.0
286,PIt2r?pi_e,pi_e,PIt2r,-1.0
287,PPC?co2_c,co2_c,PPC,-1.0
288,PPC?h2o_c,h2o_c,PPC,-1.0
289,PPC?h_c,h_c,PPC,1.0
290,PPC?oaa_c,oaa_c,PPC,1.0
291,PPC?pep_c,pep_c,PPC,-1.0
292,PPC?pi_c,pi_c,PPC,1.0
293,PPCK?adp_c,adp_c,PPCK,1.0
294,PPCK?atp_c,atp_c,PPCK,-1.0
295,PPCK?co2_c,co2_c,PPCK,1.0
296,PPCK?oaa_c,oaa_c,PPCK,-1.0
297,PPCK?pep_c,pep_c,PPCK,1.0
298,PPS?amp_c,amp_c,PPS,1.0
299,PPS?atp_c,atp_c,PPS,-1.0
300,PPS?h2o_c,h2o_c,PPS,-1.0
301,PPS?h_c,h_c,PPS,2.0
302,PPS?pep_c,pep_c,PPS,1.0
303,PPS?pi_c,pi_c,PPS,1.0
304,PPS?pyr_c,pyr_c,PPS,-1.0
305,PTAr?accoa_c,accoa_c,PTAr,-1.0
306,PTAr?actp_c,actp_c,PTAr,1.0
307,PTAr?coa_c,coa_c,PTAr,1.0
308,PTAr?pi_c,pi_c,PTAr,-1.0
309,PYK?adp_c,adp_c,PYK,-1.0
310,PYK?atp_c,atp_c,PYK,1.0
311,PYK?h_c,h_c,PYK,-1.0
312,PYK?pep_c,pep_c,PYK,-1.0
313,PYK?pyr_c,pyr_c,PYK,1.0
314,PYRt2?h_c,h_c,PYRt2,1.0
315,PYRt2?h_e,h_e,PYRt2,-1.0
316,PYRt2?pyr_c,pyr_c,PYRt2,1.0
317,PYRt2?pyr_e,pyr_e,PYRt2,-1.0
318,RPE?ru5p__D_c,ru5p__D_c,RPE,-1.0
319,RPE?xu5p__D_c,xu5p__D_c,RPE,1.0
320,RPI?r5p_c,r5p_c,RPI,-1.0
321,RPI?ru5p__D_c,ru5p__D_c,RPI,1.0
322,SUCCt2_2?h_c,h_c,SUCCt2_2,2.0
323,SUCCt2_2?h_e,h_e,SUCCt2_2,-2.0
324,SUCCt2_2?succ_c,succ_c,SUCCt2_2,1.0
325,SUCCt2_2?succ_e,succ_e,SUCCt2_2,-1.0
326,SUCCt3?h_c,h_c,SUCCt3,1.0
327,SUCCt3?h_e,h_e,SUCCt3,-1.0
328,SUCCt3?succ_c,succ_c,SUCCt3,-1.0
329,SUCCt3?succ_e,succ_e,SUCCt3,1.0
330,SUCDi?fum_c,fum_c,SUCDi,1.0
331,SUCDi?q8_c,q8_c,SUCDi,-1.0
332,SUCDi?q8h2_c,q8h2_c,SUCDi,1.0
333,SUCDi?succ_c,succ_c,SUCDi,-1.0
334,SUCOAS?adp_c,adp_c,SUCOAS,1.0
335,SUCOAS?atp_c,atp_c,SUCOAS,-1.0
336,SUCOAS?coa_c,coa_c,SUCOAS,-1.0
337,SUCOAS?pi_c,pi_c,SUCOAS,1.0
338,SUCOAS?succ_c,succ_c,SUCOAS,-1.0
339,SUCOAS?succoa_c,succoa_c,SUCOAS,1.0
340,TALA?e4p_c,e4p_c,TALA,1.0
341,TALA?f6p_c,f6p_c,TALA,1.0
342,TALA?g3p_c,g3p_c,TALA,-1.0
343,TALA?s7p_c,s7p_c,TALA,-1.0
344,THD2?h_c,h_c,THD2,2.0
345,THD2?h_e,h_e,THD2,-2.0
346,THD2?nad_c,nad_c,THD2,1.0
347,THD2?nadh_c,nadh_c,THD2,-1.0
348,THD2?nadp_c,nadp_c,THD2,-1.0
349,THD2?nadph_c,nadph_c,THD2,1.0
350,TKT1?g3p_c,g3p_c,TKT1,1.0
351,TKT1?r5p_c,r5p_c,TKT1,-1.0
352,TKT1?s7p_c,s7p_c,TKT1,1.0
353,TKT1?xu5p__D_c,xu5p__D_c,TKT1,-1.0
354,TKT2?e4p_c,e4p_c,TKT2,-1.0
355,TKT2?f6p_c,f6p_c,TKT2,1.0
356,TKT2?g3p_c,g3p_c,TKT2,1.0
357,TKT2?xu5p__D_c,xu5p__D_c,TKT2,-1.0
358,TPI?dhap_c,dhap_c,TPI,-1.0
359,TPI?g3p_c,g3p_c,TPI,1.0
